paper_id,title,score
119648,Feature-aware Modulation for Learning from Temporal Tabular Data,2.84
115361,Multivariate Time Series Anomaly Detection with Idempotent Reconstruction,3.28
121699,UMU-Bench: Closing the Modality Gap in Multimodal Unlearning Evaluation,3.44
119427,Multimodal Tabular Reasoning with Privileged Structured Information,3.77
118371,Hawk: Leveraging Spatial Context for Faster Autoregressive Text-to-Image Generation,2.84
119450,AVR: Active Visual Reasoning for Multimodal Large Language Models in Physical Environments,4.27
119898,StelLA: Subspace Learning in Low-rank Adaptation using Stiefel Manifold,2.95
116604,Point or Line? Using Line-based Representation for Panoptic Symbol Spotting in CAD Drawings,4.33
119739,HeroFilter: Adaptive Spectral Graph Filter for Varying Heterophilic Relations,3.02
120239,Learning to Plan Like the Human Brain via Visuospatial Perception and Semantic-Episodic Synergistic Decision-Making,2.99
120120,Cognitive Predictive Processing: A Human-like Framework for Adaptive Exploration in Open-World Reinforcement Learning,3.22
117746,FlexWorld: Progressively Expanding 3D Scenes for Flexible-View Exploration,4.4
121798,Mind2Web 2: Evaluating Agentic Search with Agent-as-a-Judge,4.5
117831,How Different from the Past? Spatio-Temporal Time Series Forecasting with Self-Supervised Deviation Learning,4.04
118099,Implicit Modeling for Transferability Estimation of Vision Foundation Models,4.04
119694,MigGPT: Harnessing Large Language Models for Automated Migration of Out-of-Tree Linux Kernel Patches Across Versions,4.34
115759,SAM2Flow: Interactive Optical Flow Estimation with Dual Memory for in vivo Microcirculation Analysis,3.39
118038,Towards Human-Like Language Comprehension: Incremental and Wrap-Up Based fMRI-to-Text Decoding,3.77
119345,Breaking the Gold Standard: Extracting Forgotten Data under Exact Unlearning in Large Language Models,3.77
118773,SoPo: Text-to-Motion Generation Using Semi-Online Preference Optimization,3.61
117283,Improved Robust Estimation for Erdős-Rényi Graphs: The Sparse Regime and Optimal Breakdown Point,2.11
116100,Factor Decorrelation Enhanced Data Removal from Deep Predictive Models,3.77
119724,PANGEA: Projection-Based Augmentation with Non-Relevant General Data for Enhanced Domain Adaptation in LLMs,3.67
119261,Accurately Predicting Protein Mutational Effects via a Hierarchical Many-Body Attention Network,4.1
118583,Dimension-Reduction Attack! Video Generative Models are Experts on Controllable Image Synthesis,3.5
119339,Latent Space Factorization in LoRA,2.94
119971,Reinforced Active Learning for Large-Scale Virtual Screening with Learnable Policy Model,3.17
120277,Reconstruction and Secrecy under Approximate Distance Queries,1.85
117632,Vocabulary In-Context Learning in Transformers: Benefits of Positional Encoding,1.96
119665,Unified Reinforcement and Imitation Learning for Vision-Language Models,4.27
116675,OmniTry: Virtual Try-On Anything without Masks,4.5
117145,RiboFlow: Conditional De Novo RNA Co-Design via Synergistic Flow Matching,4.27
118294,Multi-Scale Finetuning for Encoder-based Time Series Foundation Models,4.5
118791,Error Broadcast and Decorrelation as a Potential Artificial and Natural Learning Mechanism,4.04
118731,Feature Unlearning: Theoretical Foundations and Practical Applications with Shuffling,3.17
115896,Pareto Optimal Risk-Agnostic Distributional Bandits with Heavy-Tail Rewards,3.33
117335,Breaking the Frozen Subspace: Importance Sampling for Low-Rank Optimization in LLM Pretraining,3.02
116339,Balanced Conic Rectified Flow,2.45
118089,Visual Sync: Multi‑Camera Synchronization via Cross‑View Object Motion,2.99
117350,CoDA: Coordinated Diffusion Noise Optimization for Whole-Body Manipulation of Articulated Objects,4.04
118162,Retrospective In-Context Learning for Temporal Credit Assignment with Large Language Models,3.9
116892,Collaborative and Confidential Junction Trees for Hybrid Bayesian Networks,4.5
